observed,computed
1.5,0.4069494347007059
1.4,0.22398296403030446
1.3,0.23070469511051608
1.9,2.4457156596042156
0.7,-1.1072093997699817
1.1,0.4693428888444882
1.4,0.42065938195733543
1.2,-0.15129989352702217
1.1,0.5900439062048282
1.4,2.136030813270951
1.1,1.3284658550195145
2.3,1.9562016777999605
3.3,1.718302022088869
0.6,-1.4720888640523608
0.9,0.2438734530391576
0.7,-0.520655316045077
0.3,-1.631240659691979
0.1,-2.0088087701562025
0.2,-1.8866159681914738
1.0,1.7639868716530518
1.2,2.4689044800760516
1.7,3.06172206355138
1.9,1.9389614109217415
1.5,-0.022569751306916738
0.4,-1.287118312083725
0.9,0.5331501369127908
0.7,0.9516228943713371
0.2,-1.7476802108503675
0.4,-1.3981988876725642
1.2,0.0019191626822260314
1.3,-0.45527735253515433
0.9,-0.16102172310890328
0.4,-1.144144558127813
0.1,-1.9237272290192924
0.8,-0.08858534843490029
0.3,-1.5423625454731558
0.4,-1.3842867147138385
2.0,2.6287356428924737
1.2,1.3952682738512807
1.2,1.4912061728497283
1.1,0.7718494729376809
0.8,-0.6321531182246928
0.6,-0.45732582540716943
1.8,1.465511918060647
2.3,2.5091395044298874
1.3,1.7715851456814593
1.2,1.7967880481111136
0.5,-0.3061740493634962
1.7,2.6853912640855673
1.3,1.3176207330669347
1.5,2.0682674325350674
1.7,2.3143480399853233
1.3,1.110471397205395
1.7,1.4634464393547189
1.9,0.4157712482585057
2.9,2.5987388960689204
2.3,3.0370913703757436
1.5,2.5077871693268032
1.8,3.0014225585417034
1.7,2.584729553944284
1.8,2.7000935871722844
1.8,2.5637476878002317
1.9,2.418866300215689
2.0,2.241797870378937
2.3,2.8565905790840738
2.6,3.1730637082449453
2.6,2.8864210156638386
2.5,3.3460134070741825
2.8,3.452047936495674
2.2,2.4177497851663086
3.1,4.385783669222297
3.7,4.578456232276746
3.3,4.458180881732373
3.6,4.816789811108447
2.9,3.710006602333695
2.8,3.55152867033827
2.9,3.3163709774491466
3.2,3.8360797189673463
3.4,3.930488270367236
3.3,2.545650472937688
2.7,1.1298056701800716
2.6,2.5203805526580036
1.0,-0.5767751701260779
1.1,-0.15080031565425844
1.3,0.9291319122045826
2.7,3.627248769072485
2.3,2.6376767460897423
2.7,3.0523631461441383
3.4,4.273566040547569
3.1,3.8742110188684182
4.0,4.6586439611176615
6.8,8.189997333854459
4.7,6.89240430598578
4.1,6.47503752952633
3.8,5.815208402875575
4.4,6.285708613756504
4.3,5.683726242796035
5.0,6.513418577706458
4.4,5.843767401063337
4.5,6.224215594923776
5.1,6.37984233804211
5.6,6.555881066392
6.2,6.538293241447352
6.3,6.692729320821911
6.6,7.180587560022779
6.7,6.9818642941350735
5.1,5.947563572573884
5.3,5.824620027800402
7.4,7.065468003805864
9.3,8.990180326605891
5.8,7.33405269825855
6.7,7.543017379745624
6.8,7.6266736627512355
7.0,7.927484334561367
7.2,7.940705075331513
7.1,7.334096265054172
6.5,7.0244739568827095
7.0,7.303800781099968
6.4,6.922135687172699
7.2,6.650572841311867
9.5,8.642510581018406
6.4,7.124110443156088
7.0,7.467146551609062
7.4,6.978082773639861
8.4,7.3221467270909075
6.7,5.570337816283688
4.4,4.031726128583363
0.8,-0.16925887972383397
1.8,1.1408279302693916
2.5,2.0501323785849777
5.6,6.502550885886674
5.3,5.9430250603011965
2.1,1.59374354771084
4.2,5.126233886068901
5.2,6.626868098813648
2.1,1.871714235351791
2.9,3.440537458045701
5.0,5.931372381259233
6.2,7.237795816671992
5.6,5.966726042617498
6.0,5.618531119000941
5.3,5.7875379877065996
8.2,9.011364731408213
8.8,10.827939253741281
8.1,10.0653202794422
7.2,8.558346643637602
7.7,8.332967749425663
7.9,8.529048546903802
4.5,6.452488532912655
4.3,5.796966843246782
2.9,3.152553327154895
5.5,6.657804670480596
6.6,7.340418508959428
8.4,8.269124752391438
9.2,7.904598002593018
11.0,9.991831695237067
10.2,10.225601322331745
8.7,8.187893279828018
10.5,9.2128140388978
5.4,5.5855742369261145
8.0,8.550371702017733
8.8,8.68253894354899
9.9,8.78893835481556
11.1,9.518996934206019
13.7,10.560785715666116
11.7,8.82315528757018
11.2,9.244268896019285
11.6,9.786367642601046
10.0,9.3625682214387
10.1,9.384873548909423
10.1,9.647331872682155
7.4,7.082064113338127
8.4,9.014884330529465
9.0,9.686349135365147
9.0,8.703088701558299
9.2,8.112945224844317
12.5,10.305923675256295
11.1,9.65313953055878
8.9,8.435136371574075
9.2,10.020266980633274
7.4,8.498964495591963
7.8,8.891923584687211
8.6,9.14440418869379
10.4,10.0583005659961
10.0,9.094438626359986
10.8,9.59206220839134
10.0,8.936068857633147
10.9,8.591171833691362
11.6,8.386085338632656
12.4,9.140559500729609
10.5,8.684489159350894
11.0,9.166977434604824
12.3,9.26170196972374
13.1,9.110857463752984
9.5,7.064315542648723
10.2,8.573629369024786
9.9,7.409008960087132
9.4,5.989402132737112
9.6,6.754937949034426
11.2,8.861952954702847
13.8,10.49299663158974
15.6,11.491529452404594
14.4,11.022634822410048
12.8,10.43875599630312
11.6,9.335412014343737
13.4,9.892399357322217
14.2,10.187487848877419
14.1,10.032021849329782
14.1,11.13871764401868
13.4,10.944462994979625
13.5,10.421157778175631
13.4,9.876091082979803
14.3,10.209327723052356
12.8,9.282153508866385
14.4,9.985232728671727
13.3,10.275389187548832
12.2,9.89192205108006
11.8,9.36036886471882
13.9,10.475405283292906
12.4,9.67918078651406
12.3,8.872003039762733
12.7,8.924668095026892
13.4,8.983042342654127
13.3,9.163635244621219
13.1,9.113125058134349
13.4,9.202810325450791
13.2,8.815617874947906
12.6,8.351953955266257
13.5,9.126916412671537
13.6,9.082483035875141
13.9,9.290811968913028
14.9,9.80518431994647
14.3,9.815048269382531
12.3,8.675083657073664
12.8,8.895399905292532
11.9,8.84461626883408
12.4,9.338349919060795
12.0,9.093242897742465
10.5,8.524204655671957
9.7,7.208752688857917
